Name,Description,Ocupation Wikidata Ids
ERIK POPPE,Norwegian film director and film producer,"film director|""screenwriter""|""cinematographer""|""photographer""|""film producer""|"
SUZANN PETTERSEN,Norwegian golfer,golfer|
PATRICK THORESEN,Norwegian ice hockey player,ice hockey player|
GEIR HELGEMO,Norwegian Monegasque bridge player,bridge player|
EIVIND OPSVIK,Norwegian musician,composer|
COLIN ARCHER,Norwegian naval architect/shipbuilder from Larvik/Norway,engineer|
PER PETTERSON,Norwegian novelist,"writer|""author""|""translator""|"
LEIF OVE ANDSNES,Norwegian pianist,"pianist|""conductor""|""professor""|""no English label""|"
GARDAR EIDE EINARSSON,Norwegian-born artist,
ROSE MORAT,Notable centenarian crime victim,
IRIS JOHANSEN,Novelist,"author|""novelist""|"
JONATHAN FRANZEN,novelist,"author|""novelist""|""writer""|"
CHARLES BOCK,Novelist,novelist|
SUSAN ISAACS,Novelist,novelist|
MATTHEW F. JONES,Novelist,novelist|
JEAN KWOK,Novelist,novelist|
KHALED HOSSEINI,novelist,"physician|""author""|""novelist""|""writer""|"
JANET EVANOVICH,Novelist,"woman of letters|""novelist""|"
SHERRILYN KENYON,Novelist,"woman of letters|""novelist""|"
GREGORY MAGUIRE,Novelist,"writer|""author""|""novelist""|"
MARTHA GRIMES,Novelist,"writer|""author""|""novelist""|"
TONY HILLERMAN,Novelist,"writer|""author""|""novelist""|"
V. C. ANDREWS,Novelist,"writer|""author""|""novelist""|"
CHARLES FRAZIER,novelist,"writer|""author""|""novelist""|"
LAURELL K. HAMILTON,Novelist,"writer|""author""|""novelist""|"
JONATHAN SAFRAN FOER,Novelist,"writer|""author""|""novelist""|"
GREG ILES,Novelist,"writer|""author""|""novelist""|"
KEN KESEY,novelist,"writer|""author""|""novelist""|""essayist""|"
MEG CABOT,Novelist,"writer|""author""|""novelist""|""illustrator""|""children's writer""|""painter""|"
DENNIS LEHANE,Novelist,"writer|""author""|""novelist""|""screenwriter""|"
DONNA LEON,Novelist,"writer|""author""|""teacher""|"
CAROL HIGGINS CLARK,Novelist,"writer|""novelist""|"
CLIVE CUSSLER,Novelist,"writer|""screenwriter""|""author""|""novelist""|"
A. M. HOMES,novelist and memoirst from the United States,"writer|""author""|""novelist""|"
JEAN RHYS,novelist from Dominica,"writer|""author""|""novelist""|"
ANNE RIVERS SIDDONS,novelist from the United States,novelist|
JACQUELINE SUSANN,Novelist| actress,"actor|""writer""|""author""|""novelist""|"
JERRY B. JENKINS,novelist| biographer,"writer|""novelist""|"
MARGARET DRABBLE,Novelist| biographer and critic,"woman of letters|""novelist""|"
JOSEPH KANON,Novelist| book editor| publishing executive,"writer|""author""|""novelist""|"
DANIEL HANDLER,Novelist| children's writer,"writer|""screenwriter""|""novelist""|""musician""|"
E. L. DOCTOROW,Novelist| editor| professor,"author|""novelist""|""writer""|""faculty""|"
ANNE LAMOTT,Novelist| essayist| memoirist| activist,"writer|""novelist""|"
JONATHAN LETHEM,Novelist| essayist| short story writer,"writer|""author""|""novelist""|"
JAMAICA KINCAID,novelist| gardening writer| gardener,"writer|""author""|""novelist""|""playwright""|"
THEODORE DREISER,Novelist| journalist,"writer|""journalist""|""author""|""novelist""|""essayist""|""autobiographer""|"
PATRICIA CORNWELL,Novelist| journalist| biographer,"writer|""author""|""novelist""|""journalist""|"
JULIA GLASS,Novelist| journalist| editor,"writer|""journalist""|""editor""|""novelist""|"
JEFFERY DEAVER,novelist| journalist| lawyer,"writer|""author""|""novelist""|"
LOUIS BEGLEY,Novelist| lawyer,"lawyer|""author""|""novelist""|""journalist""|""writer""|"
MARQUIS DE SADE,Novelist| philosopher Sadist,"writer|""author""|""novelist""|""philosopher""|""playwright""|"
J. P. DONLEAVY,Novelist| playwright| essayist,"writer|""author""|""novelist""|"
JOHN DOS PASSOS,novelist| playwright| poet| journalist| painter,"war correspondent|""screenwriter""|""author""|""novelist""|""journalist""|""writer""|""painter""|"
LUCINDA ROY,novelist| poet,poet|
PAUL AUSTER,novelist| poet| essayist| screenwriter,"screenwriter|""film director""|""linguist""|""author""|""translator""|""novelist""|""poet""|""essayist""|""writer""|"
ERICA JONG,Novelist| poet| memoirist| critic,"writer|""poet""|""author""|""novelist""|"
JONATHAN KELLERMAN,novelist| psychologist,"psychologist|""writer""|""author""|"
JOHN LESCROART,Novelist| screenwriter,"author|""novelist""|"
RAYMOND CHANDLER,Novelist| screenwriter,"screenwriter|""author""|""novelist""|""writer""|"
ROBERT CRAIS,Novelist| screenwriter,"screenwriter|""writer""|""author""|""novelist""|"
JOHN GREGORY DUNNE,Novelist| screenwriter| literary critic| journalist| essayist,"screenwriter|""author""|""novelist""|""journalist""|"
SHIRLEY JACKSON,novelist| short story writer,"woman of letters|""journalist""|""novelist""|"
HARRY CREWS,Novelist| short story writer| essayist,"actor|""author""|""novelist""|"
WILLIAM T. VOLLMANN,Novelist| short story writer| essayist,"novelist|""essayist""|""war correspondent""|""short story writer""|"
MICHAEL CHABON,Novelist| short story writer| essayist,"writer|""essayist""|""screenwriter""|""author""|""novelist""|"
JAMES ELLROY,Novelist| short story writer| essayist| memoirist,"writer|""author""|""novelist""|""autobiographer""|"
GARY KRIST,Novelist| short story writer| journalist| travel writer| literary critic,"journalist|""novelist""|"
JIM CRACE,Novelist| short story writer| playwright,"writer|""author""|""novelist""|"
WILLA CATHER,Novelist| short story writer| poet| essayist,"writer|""poet""|""author""|""novelist""|""journalist""|""essayist""|"
JEFFREY EUGENIDES,Novelist| short story writer| teacher,"writer|""author""|""novelist""|"
DAVID RITZ,novelist| songwriter| journalist,
MARY HIGGINS CLARK,Novelist| writer,"woman of letters|""novelist""|"
ALICE HOFFMAN,Novelist| young-adult writer| children's writer,"writer|""author""|""novelist""|"
DAVID ALBRIGHT,Nuclear non-proliferation expert,
JAMES ZADROGA,NYPD officer,police officer|
COCO CRISP,Oakland Athletics baseball player.,baseball player|
DENNIS KUCINICH,Ohio politician,politician|
SHERROD BROWN,Ohio politician,politician|
MIKE DEWINE,Ohio politician,"politician|""lawyer""|"
BOB NEY,Ohio politician,"politician|""radio host""|"
MICHAEL DENNIS,Olympic alpine skier,
PETE PATTERSON,Olympic alpine skier,
MELODY COOPER,Olympic field hockey player,field hockey player|
NATALIA LAVROVA,Olympic rhythmic gymnast,
FRANKLIN GREEN,Olympic sport shooter,sport shooter|
CHELSY DAVY,On-off girlfriend of Prince Harry,
LATONIA MOORE,Opera singer,"musician|""singer""|""opera singer""|"
TIM MEAD,Opera singer,"singer|""opera singer""|"
LORRAINE HUNT LIEBERSON,opera singer,"singer|""opera singer""|"
KRASSIMIRA STOYANOVA,Opera singer,"singer|""opera singer""|"
ANGELA MEADE,Opera singer,"singer|""opera singer""|"
GENE SCHEER,Opera songwriter and lyricist,
BEVERLY SILLS,opera soprano,"actor|""singer""|""opera singer""|""autobiographer""|"
NATHAN GUNN,Operatic baritone,"singer|""opera singer""|"
SAMUEL RAMEY,Operatic bass,"singer|""actor""|""opera singer""|"
PAUL PLISHKA,Operatic bass,"singer|""opera singer""|"
DANIELLE DE NIESE,Operatic soprano,"singer|""opera singer""|"
ANNA NETREBKO,Operatic soprano,"singer|""opera singer""|"
BUGSY SIEGEL,Organized crime,
BARRY IRWIN,Owner of the Thoroughbred horse racing stable of Team Valor International,horse trainer|
NORMAN ROCKWELL,painter,"painter|""illustrator""|""artist""|"
BARRY LE VA,Painter,sculptor|
ALEX KATZ,painter and sculptor,"painter|""sculptor""|""artist""|"
MARY ROSENBERG,painter and wife of Duffield| William (1816–1863)| still-life painter,painter|
FRANS HALS,painter from the Northern Netherlands,painter|
WILLIAM SIDNEY MOUNT,Painter from the United States,painter|
EL GRECO,painter| sculptor and architect of the Spanish Renaissance,"painter|""sculptor""|""architect""|"
SERGEI GRINKOV,Pair skater,
TALAT MASOOD,Pakistan army general,engineer|
AMINA MASOOD JANJUA,Pakistani activist,human rights activist|
ZIA MAHMOOD,Pakistani American bridge player,bridge player|
SYED HAMMAD RAZA,Pakistani civil servant,
MUNIR MALIK,Pakistani cricketer,cricketer|
YASIR ARAFAT,Pakistani cricketer,cricketer|
HUSAIN HAQQANI,Pakistani diplomat,diplomat|
ASHRAF QAZI,Pakistani diplomat,diplomat|
SHERRY REHMAN,Pakistani diplomat,"journalist|""politician""|""diplomat""|"
ABDUL RASHID GHAZI,Pakistani fundamentalist,
HAMID GUL,Pakistani general,
MUNIR A. MALIK,Pakistani lawyer,
AITZAZ AHSAN,Pakistani lawyer and politician,politician|
NAEEM BOKHARI,pakistani lawyer and talk show host,
NUSRAT FATEH ALI KHAN,Pakistani musician| primarily a singer of qawwali,"singer|""musician""|""composer""|""music educator""|"
MOHSIN HAMID,Pakistani novelist,"writer|""author""|"
NAWAZ SHARIF,Pakistani politician,"politician|""cricketer""|""entrepreneur""|"
SHAUKAT AZIZ,Pakistani politician,"politician|""financier""|""banker""|"
BAITULLAH MEHSUD,Pakistani Taliban leader,politician|
SHAHAWAR MATIN SIRAJ,Pakistani-American terrorist,
BABAR AHMAD,Pakistani-British prisoner,
ALI JARBAWI,Palestinian academic,
SAEB EREKAT,Palestinian diplomat,"politician|""diplomat""|"
ELIA SULEIMAN,Palestinian film director,"actor|""film director""|""screenwriter""|"
AZMI BISHARA,Palestinian intellectual| academic| politician| and writer; founder of the Balad Party,"politician|""novelist""|"
GHAZI HAMAD,Palestinian journalist,journalist|
ABDEL BARI ATWAN,Palestinian journalist,"journalist|""linguist""|""writer""|""translator""|"
MAHDI ABDUL HADI,Palestinian lawyer,
SARI NUSSEIBEH,Palestinian philosopher and activist,philosopher|
MUSTAFA BARGHOUTI,Palestinian physician and politician,politician|
SALAM FAYYAD,Palestinian politician,"economist|""politician""|"
JIBRIL RAJOUB,Palestinian politician,politician|
MARWAN BARGHOUTI,Palestinian politician,politician|
JAMAL TIRAWI,Palestinian politician,
SUFIAN ABU ZAIDA,Palestinian politician,
MOUIN RABBANI,Palestinian writer,journalist|
RASHID KHALIDI,Palestinian-American Professor,"historian|""writer""|"
CARLOS LEE,Panamanian baseball player,baseball player|
MARIANO RIVERA,Panamanian professional baseball player| relief pitcher,baseball player|
NICHOLAS PARKER,Parker| Sir Nicholas (d. 1619)| soldier,
HAROLD S. KOPLEWICZ,Pediatric Psychopharmacologist and Biological Psychiatrist,psychiatrist|
CARLOS FLORES,Peruvian footballer,association football player|
MARIO VARGAS LLOSA,Peruvian writer| politician| journalist| and essayist,"novelist|""dramaturge""|""columnist""|""politician""|""journalist""|""essayist""|""literary critic""|""writer""|"
PETER HORBURY,Peter Horbury is senior vice president of design for Geely Auto. He joined Geely in November 2011. Before that| he was design chief for Volvo Cars.,"designer|""engineer""|"
BARBARA DAVIS,philanthropist,
ROBERT ROSENKRANZ,Philanthropist and CEO| Delphi Financial Group,
FERDINAND MARCOS,Philippine politician and President,"politician|""entrepreneur""|"
BERENICE ABBOTT,Photographer,photographer|
SALLY MANN,photographer,photographer|
EUGENE DE SALIGNAC,Photographer,photographer|
STEVEN KLEIN,Photographer,photographer|
RYAN MCGINLEY,Photographer,photographer|
DAVID MICHAEL KENNEDY,Photographer,photographer|
DUANE ALEXANDER,Physician,
IAN K. SMITH,Physician| author,"nutritionist|""medical writer""|"
OLIVER SACKS,physician| author,"writer|""chemist""|""neuroscientist""|""author""|"
BILL FRIST,physician| businessman| and politician,"physician|""politician""|""professor""|""businessperson""|""surgeon""|"
WALTER E. MASSEY,Physicist| American businessman| college president,
JASON LINDNER,Pianist,"musician|""pianist""|"
LEO GENOVESE,Pianist,pianist|
KRIS DAVIS,Pianist,pianist|
DAN NIMMER,Pianist,
VASSILY PRIMAKOV,Pianist,
ARMAND LIMNANDER,Pianist and composer,composer|
LAFAYETTE GILCHRIST,Pianist and composer,"musician|""pianist""|"
ALEXANDER LONQUICH,Pianist and conductor,"conductor|""pianist""|"
INGRID FLITER,pianist from Argentina,"pianist|""composer""|"
DARRYL HALL,Player of American and Canadian football,sportsperson|
PETE HUNTER,Player of American and Canadian football,sportsperson|
HENRI CHILDS,Player of American and Canadian football,
MICHAEL FLETCHER,Player of American and Canadian football,
FRED REID,Player of American and Canadian football,
DAMIEN NASH,Player of American football,association football player|
PETE KENDALL,Player of American football,gridiron football player|
SCOTT NORWOOD,Player of American football,gridiron football player|
SAMANTHA GORDON,Player of American football,gridiron football player|
HERB ADDERLEY,Player of American football,gridiron football player|
JOSH HUSTON,Player of American football,gridiron football player|
KEVIN ABRAMS,Player of American football,gridiron football player|
KENYON COLEMAN,Player of American football,gridiron football player|
MARK RUBIN,Player of American football,gridiron football player|
JOSEPH ADDAI,Player of American football,sportsperson|
ANDRE DYSON,Player of American football,sportsperson|
RICH GARDNER,Player of American football,sportsperson|
SAM MADISON,Player of American football,sportsperson|
MARVIN AUSTIN,Player of American football,sportsperson|
TONY UGOH,Player of American football,sportsperson|
REUBEN DROUGHNS,Player of American football,sportsperson|
DESMOND CLARK,Player of American football,sportsperson|
TERRENCE KIEL,Player of American football,sportsperson|
MIKE MAYOCK,Player of American football,"sportsperson|""baseball player""|""gridiron football player""|"
RODNEY HARRISON,Player of American football,"sportsperson|""gridiron football player""|"
DAMON HUARD,Player of American football,"sportsperson|""gridiron football player""|"
ELLIS HOBBS,Player of American football,"sportsperson|""gridiron football player""|"
JEFF BLAKE,Player of American Football,"sportsperson|""gridiron football player""|"
JAMES IHEDIGBO,Player of American football,"sportsperson|""gridiron football player""|"
R. W. MCQUARTERS,Player of American football,"sportsperson|""gridiron football player""|"
ERIK COLEMAN,Player of American football,"sportsperson|""gridiron football player""|"
TANK JOHNSON,Player of American football,"sportsperson|""gridiron football player""|"
OBAFEMI AYANBADEJO,Player of American Football,"sportsperson|""gridiron football player""|"
DAVID KOPAY,Player of American football,"sportsperson|""gridiron football player""|"
DEUCE MCALLISTER,Player of American football,"sportsperson|""gridiron football player""|"
MARLON MCCREE,Player of American football,"sportsperson|""gridiron football player""|"
RAY SCHOENKE,Player of American football,"sportsperson|""gridiron football player""|"
LAURENCE MARONEY,Player of American football,"sportsperson|""gridiron football player""|"
SAMMY MORRIS,Player of American football,"sportsperson|""gridiron football player""|"
JEREMY SHOCKEY,Player of American football,"sportsperson|""gridiron football player""|"
DOMINIC RHODES,Player of American football,"sportsperson|""gridiron football player""|"
WARRICK DUNN,Player of American football,"sportsperson|""gridiron football player""|"
ANTHONY MCFARLAND,Player of American football,"sportsperson|""gridiron football player""|"
RICH SEUBERT,Player of American football,"sportsperson|""gridiron football player""|"
DREW COLEMAN,Player of American football,"sportsperson|""gridiron football player""|"
ERNIE CONWELL,Player of American football,"sportsperson|""gridiron football player""|"
TY LAW,Player of American football,"sportsperson|""gridiron football player""|"
HUNTER SMITH,Player of American football,"sportsperson|""gridiron football player""|"
JOE DELAMIELLEURE,Player of American football,"sportsperson|""gridiron football player""|"
JAMAL LEWIS,Player of American football,"sportsperson|""gridiron football player""|"
ANTHONY HARGROVE,Player of American football,"sportsperson|""gridiron football player""|"
RICKY MANNING,Player of American football,"sportsperson|""gridiron football player""|"
SINORICE MOSS,Player of American football,"sportsperson|""gridiron football player""|"
HANK POTEAT,Player of American football,"sportsperson|""gridiron football player""|"
JUSTIN STRZELCZYK,Player of American football,"sportsperson|""gridiron football player""|"
KYLE BRADY,Player of American football,"sportsperson|""gridiron football player""|"
NATE CLEMENTS,Player of American football,"sportsperson|""gridiron football player""|"
LEVI JONES,Player of American football,
PATRICK MANNELLY,Player of American football,
STEVE HEIDEN,Player of American football,
DAVID HENRY HWANG,Playwright,"dramaturge|""screenwriter""|""author""|"
JORDAN HARRISON,playwright,playwright|
RENEE TAYLOR,playwright,playwright|
ANNE WASHBURN,Playwright,playwright|
KATHLEEN CLARK,Playwright,playwright|
R. C. SHERRIFF,playwright,"screenwriter|""author""|""novelist""|""playwright""|"
HAROLD PINTER,playwright from England,"playwright|""actor""|""film director""|""screenwriter""|""writer""|""author""|"
JANE WAGNER,Playwright| actress,"screenwriter|""film director""|""record producer""|"
TERENCE RATTIGAN,Playwright| screenwriter,"playwright|""screenwriter""|""author""|"
ELIZABETH MERIWETHER,Playwright| screenwriter| television producer and writer,"screenwriter|""playwright""|"
MOSS HART,Playwright| screenwriter| theatrical director and memoirist,"screenwriter|""author""|""playwright""|""writer""|"
ARTHUR LAURENTS,Playwright| theatre director| screenwriter,"screenwriter|""author""|"
NEIL SIMON,Playwright| writer| academic,"playwright|""screenwriter""|""author""|""writer""|"
SARAH TREEM,Playwright| Writer-Producer,playwright|
STANLEY KUNITZ,Poet,"linguist|""author""|""translator""|""writer""|""poet""|"
CRAIG RAINE,Poet,"poet|""author""|"
ROBERT LOWELL,Poet,"poet|""author""|"
GERARD MANLEY HOPKINS,Poet,"poet|""author""|""writer""|"
DEREK WALCOTT,Poet,"poet|""playwright""|""author""|""writer""|"
SARAH ARVIO,poet,
ASSIA WEVILL,Poet,
JOHN ASHBERY,poet from the United States,"poet|""writer""|"
ANDREW BURKE,poet from Western Australia,
KARL SHAPIRO,Poet| essayist,poet|
PHILIP LARKIN,Poet| Novelist| Jazz critic| Librarian,"journalist|""poet""|""librarian""|""author""|""novelist""|""writer""|"
VELINA HASU HOUSTON,poet| screenwriter| playwright| essayist| advocate,"screenwriter|""playwright""|"
JAMES LIPTON,Poet| talk show host| writer| teacher,"actor|""screenwriter""|""poet""|""author""|""television presenter""|""teacher""|"
CEZARY BALICKI,Polish bridge player,"chess player|""bridge player""|"
KRZYSZTOF PENDERECKI,Polish composer and conductor,"composer|""conductor""|""educationist""|""musicologist""|""music educator""|"
ANDRZEJ STASIUK,Polish writer,"author|""writer""|""publisher""|"
DANIEL LIBESKIND,Polish-American architect,"architect|""musician""|"
MAX FACTOR,Polish-American businessman,"chemist|""entrepreneur""|"
ZBIGNIEW BRZEZINSKI,Polish-American politician,"geopolitician|""political scientist""|""politician""|""educationist""|"
ISAAC BASHEVIS SINGER,Polish-born Jewish-American author,"writer|""author""|""novelist""|""Esperantist""|""autobiographer""|"
ROMAN POLANSKI,Polish-French film director| producer| writer| and actor,"film director|""actor""|""film producer""|""screenwriter""|""writer""|"
DAVID PLOUFFE,Political activist and strategist,
JAMES CARVILLE,political writer| consultant and United States Marine,"lawyer|""teacher""|"
ZIAD ABU AMR,Politician,diplomat|
ELLIOTT ABRAMS,Politician,lawyer|
MARTIN MCGUINNESS,Politician,politician|
MARIANO RAJOY,politician,politician|
ZACH WAMP,politician,politician|
HENRY ABBOTT,Politician,politician|
FIORELLO H. LA GUARDIA,politician,politician|
HIDENAO NAKAGAWA,Politician,politician|
LEE H. HAMILTON,politician,politician|
MORGAN TSVANGIRAI,Politician,"politician|""human rights activist""|"
CHARLIE CRIST,politician,"politician|""lawyer""|"
GARY BAUER,politician,
SAUL ANUZIS,Politician,
IAN PAISLEY,Politician and former church minister,politician|
LEO AMERY,Politician and journalist,"politician|""journalist""|""author""|"
BOB KERREY,Politician and United States Navy Medal of Honor recipient,"politician|""officer""|"
AMR MOUSSA,politician from Egypt,"politician|""diplomat""|"
MARCO RUBIO,politician from Florida| United States,"politician|""lawyer""|"
JOE LIEBERMAN,politician from the United States,"politician|""lawyer""|"
BOB CORKER,politician| businessman,"politician|""entrepreneur""|"
RAHM EMANUEL,politician| investment banker| White House Chief of Staff,"politician|""entrepreneur""|"
JOHN III,pope,priest|
NICHOLAS II,pope,"priest|""cleric""|"
SERENA WILSON,Popular American belly dancer| dance teacher| choreographer| author| and host of instructional TV series| The Serena Show.,dancer|
MANOEL DE OLIVEIRA,Portuguese film director,"screenwriter|""editor""|""film director""|""cinematographer""|""film producer""|""film editor""|"
FERNANDO PESSOA,Portuguese poet| writer| literary critic| translator| publisher and philosopher,"poet|""author""|""translator""|""writer""|""playwright""|""philosopher""|""essayist""|"
SARA TAVARES,Portuguese singer,"singer-songwriter|""pianist""|""guitarist""|""percussionist""|"
TERESA HEINZ KERRY,Portuguese–American businesswoman| widow of Sen. H. John Heinz III and wife of Secretary of State John Kerry,entrepreneur|
C. VANN WOODWARD,preeminent American historian,historian of modern age|
NELSON ADAMS,President of Access Health Solutions| LLC,
HAMID KARZAI,President of Afghanistan,politician|
RAMZAN KADYROV,President of Chechnya,"politician|""warrior""|"
MARTIN C. JISCHKE,President of Iowa State University,
FATMIR SEJDIU,President of Kosovo,"legal historian|""educationist""|"
ROGER M. PERLMUTTER,President of Merck Research,
VICENTE FOX,President of Mexico,politician|
DANIEL ORTEGA,President of Nicaragua,"politician|""writer""|"
VLADIMIR PUTIN,President of Russia| former Prime Minister,"politician|""jurist""|""judoka""|""autobiographer""|"
JACK VALENTI,President of the MPAA,civil servant|
LEITH ANDERSON,President of the National Association of Evangelicals,
STEPHEN M. SWEENEY,President of the New Jersey Senate,politician|
RAFAEL CORREA,President of the Republic of Ecuador,"economist|""politician""|""writer""|"
DANA WHITE,President of the UFC,entrepreneur|
JAMES WOLFENSOHN,President of the World Bank,"economist|""banker""|""fencer""|""politician""|"
ROBERT MUGABE,President of Zimbabwe,politician|
PATRICK M. BYRNE,President| CEO and chairman of Overstock.com,
KATHARINE JEFFERTS SCHORI,Presiding Bishop of the Episcopal Church in the United States of America,"priest|""oceanographer""|"
THOMAS MERTON,Priest and author,"theologian|""poet""|""author""|""essayist""|""autobiographer""|""writer""|"
WILLIAM CRISP,Priest| translator,translator|
HUN SEN,Prime Minister of Cambodia,diplomat|
LIONEL JOSPIN,Prime Minister of France,politician|
AKHMED ZAKAYEV,Prime Minister of Ichkeria,politician|
LEVI ESHKOL,prime minister of Israel,politician|
GOLDA MEIR,prime minister of Israel,"politician|""diplomat""|""teacher""|"
ARIEL SHARON,prime minister of Israel and Israeli general,"politician|""officer""|"
FOUAD SINIORA,Prime Minister of Lebanon,politician|
RAFIK HARIRI,Prime Minister of Lebanon| businessman,"politician|""entrepreneur""|"
SURAYUD CHULANONT,Prime Minister of Thailand,"politician|""officer""|"
MARGARET THATCHER,Prime Minister of the United Kingdom,"politician|""chemist""|""autobiographer""|"
AVI ARAD,Producer,"film producer|""businessperson""|"
LORNE MICHAELS,Producer,"screenwriter|""film producer""|"
RYAN LEAF,professional American football player,"sportsperson|""gridiron football player""|"
TONY DUNGY,professional American football player and head coach of the Indianapolis Colts of the National Football League,"sportsperson|""gridiron football player""|"
PETE ROBBINS,professional American jazz saxophonist,musician|
CORY LIDLE,professional baseball player,baseball player|
JORGE POSADA,professional baseball player,baseball player|
BILL SKOWRON,Professional baseball player,baseball player|
MICKEY MANTLE,Professional baseball player,baseball player|
HIDEKI MATSUI,professional baseball player,baseball player|
MIKE MUSSINA,professional baseball player,baseball player|
JASON GIAMBI,Professional baseball player,baseball player|
STEVE BALBONI,Professional baseball player,
JORGE GARBAJOSA,Professional basketball player,basketball player|
FABRICIO OBERTO,Professional basketball player,basketball player|
BORIS DIAW,Professional basketball player,"sportsperson|""basketball player""|"
CHRIS MIHM,professional basketball player,"sportsperson|""basketball player""|"
KWAME BROWN,Professional basketball player,"sportsperson|""basketball player""|"
JOHN AMAECHI,Professional basketball player,"sportsperson|""basketball player""|""blogger""|"
KELLY KULICK,Professional bowler,
PATRICE BERGERON,Professional Canadian ice hockey player,ice hockey player|
JAY DEMERIT,professional football player,association football player|
VICTOR HOBSON,Professional football player,
JAMIE LAWRENCE,Professional football player and coach,association football player|
BRIAN DAWKINS,professional football player| safety,"association football player|""gridiron football player""|"
IAN MORGAN,Professional footballer,association football player|
TOM SMYTH,professional footballer,association football player|
KARRIE WEBB,professional golfer,golfer|
GARY PLAYER,Professional golfer,golfer|
NICK FALDO,professional golfer,golfer|
ARRON OBERHOLSER,professional golfer,golfer|
COLIN MONTGOMERIE,professional golfer,golfer|
CHARLES HOWELL III,professional golfer,golfer|
TOM LEHMAN,professional golfer,golfer|
STEPHEN AMES,professional golfer,golfer|
JOHN ROLLINS,professional golfer,golfer|
SHERRI STEINHAUER,professional golfer,golfer|
PAT PEREZ,professional golfer,golfer|
PAUL STANKOWSKI,professional golfer,golfer|
TROY MATTESON,professional golfer,golfer|
MICHELLE WIE,Professional golfer,golfer|
BEN CRANE,professional golfer,golfer|
BRETT WETTERICH,professional golfer,golfer|
BOO WEEKLEY,professional golfer,golfer|
ERNIE ELS,professional golfer,golfer|
IAN POULTER,professional golfer,golfer|
PETER LONARD,Professional golfer,golfer|
DAVID TOMS,professional golfer,golfer|
GEOFF OGILVY,Professional golfer,golfer|
BEN CRENSHAW,professional golfer,golfer|
BILL HAAS,Professional golfer,golfer|
BRANDT SNEDEKER,Professional golfer,golfer|
JULIUS BOROS,professional golfer,golfer|
DAVID DUVAL,professional golfer,golfer|
RORY SABBATINI,professional golfer,golfer|
ROBERT ALLENBY,professional golfer,golfer|
LARRY MIZE,professional golfer,golfer|
JOCK HUTCHISON,Professional golfer,golfer|
JOE OGILVIE,professional golfer,golfer|
WOODY AUSTIN,professional golfer,golfer|
BRETT QUIGLEY,professional golfer,golfer|
ZACH JOHNSON,professional golfer,golfer|
PHIL MICKELSON,professional golfer,golfer|
TREVOR IMMELMAN,professional golfer,golfer|
PAYNE STEWART,professional golfer,golfer|
ANGELA PARK,Professional golfer,golfer|
DAVIS LOVE III,professional golfer,golfer|
RICH BEEM,professional golfer,golfer|
TOM KITE,professional golfer,golfer|
LEE JANZEN,professional golfer,golfer|
SHAUN MICHEEL,professional golfer,golfer|
STUART APPLEBY,professional golfer,golfer|
LARRY NELSON,Professional golfer,golfer|
CHARLIE WI,Professional golfer,golfer|
HEATH SLOCUM,professional golfer,golfer|
GARRETT WILLIS,professional golfer,golfer|
KEN DUKE,professional golfer,golfer|
AARON BADDELEY,Professional golfer,golfer|
LOREN ROBERTS,professional golfer,golfer|
ROD PAMPLING,professional golfer,golfer|
J. J. HENRY,professional golfer,golfer|
IAN WOOSNAM,professional golfer,golfer|
BUBBA WATSON,professional golfer,golfer|
RETIEF GOOSEN,professional golfer,golfer|
NICK DOUGHERTY,Professional golfer,golfer|
ROCCO MEDIATE,professional golfer,golfer|
KEN VENTURI,Professional golfer,golfer|
JEFF SLUMAN,professional golfer,golfer|
JACK FLECK,Professional golfer,golfer|
JUSTIN LEONARD,professional golfer,"golfer|""sportsperson""|"
SE RI PAK,professional golfer,"sportsperson|""golfer""|"
BIRDIE KIM,Professional golfer,"sportsperson|""golfer""|"
BUTCH HARMON,Professional golfer| golf instructor| author,golfer|
RYAN BAYDA,Professional ice hockey player,ice hockey player|
JEB CORLISS,Professional skydiver and BASE jumper,presenter|
CLAUDIO REYNA,Professional soccer player,association football player|
CLINT MATHIS,professional soccer player,association football player|
CHRIS ARMAS,professional soccer player,association football player|
ALECKO ESKANDARIAN,Professional soccer player,association football player|
COBI JONES,professional soccer player,"association football player|""sportsperson""|"
SHANE BESCHEN,Professional surfer,surfer|
FOUAD AJAMI,Professor,"writer|""faculty""|"
DENIS DUTTON,Professor and philosopher,philosopher|
EDWARD SAID,Professor of English and literature,"writer|""author""|"
JOSEPH ALEXIS,Professor of Germanic languages and literatures,
JEFFREY J. KRIPAL,professor of philosophy and religious thought,
SHARON ZUKIN,Professor of Sociology,sociologist|
FRANCIS FUKUYAMA,Professor| philosopher| author,"writer|""political scientist""|""blogger""|"
NEWT GINGRICH,Professor| Speaker of the United States House of Representatives,"politician|""novelist""|""writer""|"
EDWARD HOPPER,prominent American realist painter and printmaker,painter|
PETER MANDELSON,Prominent British Labour politician and spin doctor,politician|
STEVEN PINKER,psychologist| linguist| author,"psychologist|""linguist""|""anthropologist""|""author""|""philosopher""|""writer""|"
JACQUELINE KENNEDY ONASSIS,public figure| First Lady to 35th U.S. President John F. Kennedy,"journalist|""literary editor""|"
NICOLE WONG,Public policy lawyer,
GENE RUSSIANOFF,Public-interest lawyer and advocate| founder of Straphangers Campaign of New York Public Interest Research Group| Inc.,lawyer|
SONNY MEHTA,Publisher,
